mv_id,move_name,ele_type,pp,priority,category,atk,accuracy,prob,effect,effect_target,min_times,max_times
95,hypnosis,psychic,20,0,status,,60,100,Puts the target to sleep.,1,,
96,meditate,psychic,40,0,status,,,100,Raises the user's Attack by one stage.,0,,
97,agility,psychic,30,0,status,,,100,Raises the user's Speed by two stages.,0,,
98,quick-attack,normal,30,1,physical,40,100,,Inflicts regular damage with no additional effect.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
103,screech,normal,40,0,status,,85,100,Lowers the target's Defense by two stages.,1,,
104,double-team,normal,15,0,status,,,100,Raises the user's evasion by one stage.,0,,
,,,,,,,,,,,,
106,harden,normal,30,0,status,,,100,Raises the user's Defense by one stage.,0,,
107,minimize,normal,10,0,status,,,100,Raises the user's evasion by two stages.,0,,
108,smokescreen,normal,20,0,status,,100,100,Lowers the target's accuracy by one stage.,1,,
,,,,,,,,,,,,
110,withdraw,water,40,0,status,,,100,Raises the user's Defense by one stage.,0,,
111,defense-curl,normal,40,0,status,,,100,Raises user's Defense by one stage.,0,,
112,barrier,psychic,20,0,status,,,100,Raises the user's Defense by two stages.,0,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
121,egg-bomb,normal,10,0,physical,100,75,,Inflicts regular damage with no additional effect.,1,,
122,lick,ghost,30,0,physical,30,100,30,Has a $effect_chance% chance to [paralyze]{mechanic:paralysis} the target.,1,,
123,smog,posion,20,0,special,30,70,40,Has a $effect_chance% chance to [poison]{mechanic:poison} the target.,1,,
124,sludge,posion,20,0,special,65,100,30,Has a $effect_chance% chance to [poison]{mechanic:poison} the target.,1,,
,,,,,,,,,,,,
126,fire-blast,fire,5,0,special,110,85,10,Has a $effect_chance% chance to [burn]{mechanic:burn} the target.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
129,swift,normal,20,0,special,60,,,Never misses.,1,,
,,,,,,,,,,,,
131,spike-cannon,normal,15,0,physical,20,100,,Hits 2-5 times in one turn.,1,2,5
132,constrict,normal,35,0,physical,10,100,10,Has a $effect_chance% chance to lower the target's Speed by one stage.,1,,
133,amnesia,psychic,20,0,status,,,100,Raises the user's Special Defense by two stages.,0,,
134,kinesis,psychic,15,0,status,,80,100,Lowers the target's accuracy by one stage.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
137,glare,normal,30,0,status,,100,100,Paralyzes the target.,1,,
,,,,,,,,,,,,
139,poison-gas,posion,40,0,status,,90,100,Poisons the target.,1,,
140,barrage,normal,20,0,physical,15,85,,Hits 2-5 times in one turn.,1,2,5
,,,,,,,,,,,,
142,lovely-kiss,normal,10,0,status,,75,100,Puts the target to sleep.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
145,bubble,water,30,0,special,40,100,10,Has a $effect_chance% chance to lower the target's Speed by one stage.,1,,
,,,,,,,,,,,,
147,spore,grass,15,0,status,,100,100,Puts the target to sleep.,1,,
148,flash,normal,20,0,status,,100,100,Lowers the target's accuracy by one stage.,1,,
,,,,,,,,,,,,
150,splash,normal,40,0,status,,,,Does nothing.,0,,
151,acid-armor,posion,20,0,status,,,100,Raises the user's Defense by two stages.,0,,
,,,,,,,,,,,,
154,fury-swipes,normal,15,0,physical,18,80,,Hits 2-5 times in one turn.,1,2,5
155,bonemerang,ground,10,0,physical,50,90,,Hits twice in one turn.,1,2,2
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
159,sharpen,normal,30,0,status,,,100,Raises the user's Attack by one stage.,0,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
172,flame-wheel,fire,25,0,physical,60,100,10,Has a $effect_chance% chance to [burn]{mechanic:burn} the target.  Lets frozen Pokémon thaw themselves.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
178,cotton-spore,grass,40,0,status,,100,100,Lowers the target's Speed by two stages.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
181,powder-snow,ice,25,0,special,40,100,10,Has a $effect_chance% chance to [freeze]{mechanic:freeze} the target.,1,,
,,,,,,,,,,,,
183,mach-punch,fighting,30,1,physical,40,100,,Inflicts regular damage with no additional effect.,1,,
184,scary-face,normal,10,0,status,,100,100,Lowers the target's Speed by two stages.,1,,
185,feint-attack,dark,20,0,physical,60,,,Never misses.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
188,sludge-bomb,posion,10,0,special,90,100,30,Has a $effect_chance% chance to [poison]{mechanic:poison} the target.,1,,
189,mud-slap,ground,10,0,special,20,100,100,Has a $effect_chance% chance to lower the target's accuracy by one stage.,1,,
190,octazooka,water,10,0,special,65,85,50,Has a $effect_chance% chance to lower the target's accuracy by one stage.,1,,
192,zap-cannon,electric,5,0,special,120,50,100,Has a $effect_chance% chance to [paralyze]{mechanic:paralysis} the target.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
196,icy-wind,ice,15,0,special,55,95,100,Has a $effect_chance% chance to lower the target's Speed by one stage.,1,,
,,,,,,,,,,,,
198,bone-rush,ground,10,0,physical,25,90,,Hits 2-5 times in one turn.,1,2,5
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
204,charm,fairy,20,0,status,,100,100,Lowers the target's Attack by two stages.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
209,spark,electric,20,0,physical,65,100,30,Has a $effect_chance% chance to [paralyze]{mechanic:paralysis} the target.,1,,
,,,,,,,,,,,,
211,steel-wing,steel,25,0,physical,70,90,10,Has a $effect_chance% chance to raise the user's Defense by one stage.,0,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
216,return,normal,20,0,physical,102,100,,Power increases with happiness (always 102 in this game),1,,
,,,,,,,,,,,,
218,frustration,normal,20,0,physical,1,100,,Power increases as happiness decreases (always 1 in this game),1,,
,,,,,,,,,,,,
221,sacred-fire,fire,5,0,physical,100,95,50,Has a $effect_chance% chance to [burn]{mechanic:burn} the target.  Lets frozen Pokémon thaw themselves.,1,,
,,,,,,,,,,,,
224,megahorn,bug,10,0,physical,120,85,,Inflicts regular damage with no additional effect.,1,,
225,dragon-breath,dragon,20,0,special,60,100,30,Has a $effect_chance% chance to [paralyze]{mechanic:paralysis} the target.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
229,rapid-spin,normal,40,0,physical,50,100,100,"Frees the user from binding moves, removes Leech Seed, and blows away Spikes.",1,,
230,sweet-scent,normal,20,0,status,,100,100,Lowers the target's evasion by one stage.,1,,
231,iron-tail,steel,15,0,physical,100,75,30,Has a $effect_chance% chance to lower the target's Defense by one stage.,1,,
232,metal-claw,steel,35,0,physical,50,95,10,Has a $effect_chance% chance to raise the user's Attack by one stage.,0,,
233,vital-throw,fighting,10,-1,physical,70,,,Never misses.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
242,crunch,dark,15,0,physical,80,100,20,Has a $effect_chance% chance to lower the target's Defense by one stage.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
245,extreme-speed,normal,5,2,physical,80,100,,Inflicts regular damage with no additional effect.,1,,
,,,,,,,,,,,,
247,shadow-ball,ghost,15,0,special,80,100,20,Has a $effect_chance% chance to lower the target's Special Defense by one stage.,1,,
,,,,,,,,,,,,
249,rock-smash,fighting,15,0,physical,40,100,50,Has a $effect_chance% chance to lower the target's Defense by one stage.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
257,heat-wave,fire,10,0,special,95,90,10,Has a $effect_chance% chance to [burn]{mechanic:burn} the target.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
261,will-o-wisp,fire,15,0,status,,85,100,Burns the target.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
268,charge,electric,20,0,status,,,,Raises the user's Special Defense by one stage.,0,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
280,brick-break,fighting,15,0,physical,75,100,,Destroys Reflect and Light Screen.,1,,
,,,,,,,,,,,,
282,knock-off,dark,20,0,physical,65,100,,Target drops its held item.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
292,arm-thrust,fighting,20,0,physical,15,100,,Hits 2-5 times in one turn.,1,2,5
,,,,,,,,,,,,
294,tail-glow,bug,20,0,status,,,100,Raises the user's Special Attack by three stages.,0,,
295,luster-purge,psychic,5,0,special,70,100,50,Has a $effect_chance% chance to lower the target's Special Defense by one stage.,1,,
296,mist-ball,psychic,5,0,special,70,100,50,Has a $effect_chance% chance to lower the target's Special Attack by one stage.,1,,
297,feather-dance,flying,15,0,status,,100,100,Lowers the target's Attack by two stages.,1,,
299,blaze-kick,fire,10,0,physical,85,90,10,Has $effect_chance% chance to [burn]{mechanic:burn} the target.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
304,hyper-voice,normal,10,0,special,90,100,,Inflicts regular damage with no additional effect.,1,,
305,poison-fang,posion,15,0,physical,50,100,50,Has a $effect_chance% chance to badly poison the target.,1,,
306,crush-claw,normal,10,0,physical,75,95,50,Has a $effect_chance% chance to lower the target's Defense by one stage.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
309,meteor-mash,steel,10,0,physical,90,90,20,Has a $effect_chance% chance to raise the user's Attack by one stage.,0,,
,,,,,,,,,,,,
311,weather-ball,normal,10,0,special,50,100,,"If there be weather, this move has doubled power and the weather's type.",1,,
313,fake-tears,dark,20,0,status,,100,100,Lowers the target's Special Defense by two stages.,1,,
,,,,,,,,,,,,
315,overheat,fire,5,0,special,130,90,100,Lowers the user's Special Attack by two stages after inflicting damage.,0,,
,,,,,,,,,,,,
317,rock-tomb,rock,15,0,physical,60,95,100,Has a $effect_chance% chance to lower the target's Speed by one stage.,1,,
,,,,,,,,,,,,
319,metal-sound,steel,40,0,status,,85,100,Lowers the target's Special Defense by two stages.,1,,
320,grass-whistle,grass,15,0,status,,55,100,Puts the target to sleep.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
325,shadow-punch,ghost,20,0,physical,60,,,Never misses.,1,,
,,,,,,,,,,,,
327,sky-uppercut,fighting,15,0,physical,85,90,,Inflicts regular damage and can hit Bounce and Fly users.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
330,muddy-water,water,10,0,special,90,85,30,Has a $effect_chance% chance to lower the target's accuracy by one stage.,1,,
331,bullet-seed,grass,30,0,physical,25,100,,Hits 2-5 times in one turn.,1,2,5
332,aerial-ace,flying,20,0,physical,60,,,Never misses.,1,,
333,icicle-spear,ice,30,0,physical,25,100,,Hits 2-5 times in one turn.,1,2,5
334,iron-defense,steel,15,0,status,,,,Raises the user's Defense by two stages.,0,,
,,,,,,,,,,,,
337,dragon-claw,dragon,15,0,physical,80,100,,Inflicts regular damage with no additional effect.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
341,mud-shot,ground,15,0,special,55,95,100,Has a $effect_chance% chance to lower the target's Speed by one stage.,1,,
342,poison-tail,posion,25,0,physical,50,100,10,Has $effect_chance% chance to poison the target.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
345,magical-leaf,grass,20,0,special,60,,,Never misses.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
350,rock-blast,rock,10,0,physical,25,90,,Hits 2-5 times in one turn.,1,2,5
351,shock-wave,electric,20,0,special,60,,,Never misses.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
354,psycho-boost,psychic,5,0,special,140,90,100,Lowers the user's Special Attack by two stages after inflicting damage.,0,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
359,hammer-arm,fighting,10,0,physical,100,90,100,Lowers user's Speed by one stage.,0,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
365,pluck,flying,20,0,physical,60,100,,"If target has a berry, inflicts double damage and uses the berry.",1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
395,force-palm,fighting,10,0,physical,60,100,30,Has a $effect_chance% chance to [paralyze]{mechanic:paralysis} the target.,1,,
396,aura-sphere,fighting,20,0,special,80,,,Never misses.,1,,
397,rock-polish,rock,20,0,status,,,,Raises the user's Speed by two stages.,0,,
398,poison-jab,posion,20,0,physical,80,100,30,Has a $effect_chance% chance to [poison]{mechanic:poison} the target.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
401,aqua-tail,water,10,0,physical,90,90,,Inflicts regular damage with no additional effect.,1,,
402,seed-bomb,grass,15,0,physical,80,100,,Inflicts regular damage with no additional effect.,1,,
,,,,,,,,,,,,
404,x-scissor,bug,15,0,physical,80,100,,Inflicts regular damage with no additional effect.,1,,
405,bug-buzz,bug,10,0,special,90,100,10,Has a $effect_chance% chance to lower the target's Special Defense by one stage.,1,,
406,dragon-pulse,dragon,10,0,special,85,100,,Inflicts regular damage with no additional effect.,1,,
,,,,,,,,,,,,
408,power-gem,rock,20,0,special,80,100,,Inflicts regular damage with no additional effect.,1,,
,,,,,,,,,,,,
410,vacuum-wave,fighting,30,1,special,40,100,,Inflicts regular damage with no additional effect.,1,,
411,focus-blast,fighting,5,0,special,120,70,10,Has a $effect_chance% chance to lower the target's Special Defense by one stage.,1,,
412,energy-ball,grass,10,0,special,90,100,10,Has a $effect_chance% chance to lower the target's Special Defense by one stage.,1,,
,,,,,,,,,,,,
414,earth-power,ground,10,0,special,90,100,10,Has a $effect_chance% chance to lower the target's Special Defense by one stage.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
417,nasty-plot,dark,20,0,status,,,100,Raises the user's Special Attack by two stages.,0,,
418,bullet-punch,steel,30,1,physical,40,100,,Inflicts regular damage with no additional effect.,1,,
,,,,,,,,,,,,
420,ice-shard,ice,30,1,physical,40,100,,Inflicts regular damage with no additional effect.,1,,
,,,,,,,,,,,,
422,thunder-fang,electric,15,0,physical,65,95,10,Has a $effect_chance% chance to paralyze the target,1,,
423,ice-fang,ice,15,0,physical,65,95,10,Has a $effect_chance% chance to freeze the target ,1,,
424,fire-fang,fire,15,0,physical,65,95,10,Has a $effect_chance% chance to [burn]{mechanic:burn} the target ,1,,
425,shadow-sneak,ghost,30,1,physical,40,100,,Inflicts regular damage with no additional effect.,1,,
426,mud-bomb,ground,10,0,special,65,85,30,Has a $effect_chance% chance to lower the target's accuracy by one stage.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
429,mirror-shot,steel,10,0,special,65,85,30,Has a $effect_chance% chance to lower the target's accuracy by one stage.,1,,
430,flash-cannon,steel,10,0,special,80,100,10,Has a $effect_chance% chance to lower the target's Special Defense by one stage.,1,,
,,,,,,,,,,,,
432,defog,flying,15,0,status,,,,Lowers the target's evasion by one stage.  Removes field effects from the enemy field.,1,,
434,draco-meteor,dragon,5,0,special,130,90,100,Lowers the user's Special Attack by two stages after inflicting damage.,0,,
437,leaf-storm,grass,5,0,special,130,90,100,Lowers the user's Special Attack by two stages after inflicting damage.,0,,
438,power-whip,grass,10,0,physical,120,85,,Inflicts regular damage with no additional effect.,1,,
,,,,,,,,,,,,
440,cross-poison,posion,20,0,physical,70,100,10,Has a $effect_chance% chance to poison the target.,1,,
441,gunk-shot,posion,5,0,physical,120,80,30,Has a $effect_chance% chance to [poison]{mechanic:poison} the target.,1,,
,,,,,,,,,,,,
443,magnet-bomb,steel,20,0,physical,60,,,Never misses.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
449,judgment,normal,10,0,special,100,100,,"If the user is holding a appropriate plate or drive, the damage inflicted will match it.",1,,
450,bug-bite,bug,20,0,physical,60,100,,"If target has a berry, inflicts double damage and uses the berry.",1,,
451,charge-beam,electric,10,0,special,50,90,70,Has a $effect_chance% chance to raise the user's Special Attack by one stage.,0,,
,,,,,,,,,,,,
453,aqua-jet,water,20,1,physical,40,100,,Inflicts regular damage with no additional effect.,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
458,double-hit,normal,10,0,physical,35,90,,Hits twice in one turn.,1,2,2
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
464,dark-void,dark,10,0,status,,50,100,Puts the target to sleep.,1,,
465,seed-flare,grass,5,0,special,120,85,40,Has a $effect_chance% chance to lower the target's Special Defense by two stages.,1,,
