mv_id,move_name,ele_type,pp,priority,category,atk,accuracy,prob,effect,description,effect_target,min_times,max_times
62,aurora-beam,ice,20,0,special,65,100,10,atk -1,has a $effect_chance% chance to lower the target's attack by one stage.,1,1,1
64,peck,flying,35,0,physical,35,100,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
65,drill-peck,flying,20,0,physical,80,100,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
70,strength,normal,15,0,physical,80,100,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
74,growth,normal,20,0,status,NULL,NULL,100,spatk +1,raises the user's attack and special attack by one stage.,0,1,1
77,poison-powder,posion,35,0,status,NULL,75,100,poison,poisons the target.,1,1,1
78,stun-spore,grass,30,0,status,NULL,75,100,paralysis,paralyzes the target.,1,1,1
79,sleep-powder,grass,15,0,status,NULL,75,100,sleep,puts the target to sleep.,1,1,1
81,string-shot,bug,40,0,status,NULL,95,100,spd -2,lowers the target's speed by two stages.,1,1,1
84,thunder-shock,electric,30,0,special,40,100,10,paralysis,has a $effect_chance% chance to paralysis the target.,1,1,1
85,thunderbolt,electric,15,0,special,90,100,10,paralysis,has a $effect_chance% chance to paralysis the target.,1,1,1
86,thunder-wave,electric,20,0,status,NULL,90,100,paralysis,paralyzes the target.,1,1,1
87,thunder,electric,10,0,special,110,70,30,paralysis,has a $effect_chance% chance to paralyze the target.,1,1,1
88,rock-throw,rock,15,0,physical,50,90,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
92,toxic,posion,10,0,status,NULL,90,100,badly poison,"badly poisons the target, inflicting more damage every turn.",1,1,1
94,psychic,psychic,10,0,special,90,100,10,spdef -1,has a $effect_chance% chance to lower the target's special defense by one stage.,1,1,1
95,hypnosis,psychic,20,0,status,NULL,60,100,sleep,puts the target to sleep.,1,1,1
96,meditate,psychic,40,0,status,NULL,NULL,100,atk +1,raises the user's attack by one stage.,0,1,1
97,agility,psychic,30,0,status,NULL,NULL,100,spd +2,raises the user's speed by two stages.,0,1,1
98,quick-attack,normal,30,1,physical,40,100,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
103,screech,normal,40,0,status,NULL,85,100,def -2,lowers the target's defense by two stages.,1,1,1
104,double-team,normal,15,0,status,NULL,NULL,100,evasion +1,raises the user's evasion by one stage.,0,1,1
106,harden,normal,30,0,status,NULL,NULL,100,def +1,raises the user's defense by one stage.,0,1,1
107,minimize,normal,10,0,status,NULL,NULL,100,evasion +2,raises the user's evasion by two stages.,0,1,1
108,smokescreen,normal,20,0,status,NULL,100,100,acc -1,lowers the target's accuracy by one stage.,1,1,1
110,withdraw,water,40,0,status,NULL,NULL,100,def +1,raises the user's defense by one stage.,0,1,1
111,defense-curl,normal,40,0,status,NULL,NULL,100,def +1,raises user's defense by one stage.,0,1,1
112,barrier,psychic,20,0,status,NULL,NULL,100,def +2,raises the user's defense by two stages.,0,1,1
121,egg-bomb,normal,10,0,physical,100,75,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
122,lick,ghost,30,0,physical,30,100,30,paralysis,has a $effect_chance% chance to paralysis the target.,1,1,1
123,smog,posion,20,0,special,30,70,40,poison,has a $effect_chance% chance to poison the target.,1,1,1
124,sludge,posion,20,0,special,65,100,30,poison,has a $effect_chance% chance to poison the target.,1,1,1
126,fire-blast,fire,5,0,special,110,85,10,burn,has a $effect_chance% chance to burn the target.,1,1,1
129,swift,normal,20,0,special,60,NULL,NULL,NULL,never misses.,1,1,1
131,spike-cannon,normal,15,0,physical,20,100,NULL,NULL,hits 2-5 times in one turn.,1,2,5
132,constrict,normal,35,0,physical,10,100,10,spd -1,has a $effect_chance% chance to lower the target's speed by one stage.,1,1,1
133,amnesia,psychic,20,0,status,NULL,NULL,100,spdef +2,raises the user's special defense by two stages.,0,1,1
134,kinesis,psychic,15,0,status,NULL,80,100,acc -1,lowers the target's accuracy by one stage.,1,1,1
137,glare,normal,30,0,status,NULL,100,100,paralysis,paralyzes the target.,1,1,1
139,poison-gas,posion,40,0,status,NULL,90,100,poison,poisons the target.,1,1,1
140,barrage,normal,20,0,physical,15,85,NULL,NULL,hits 2-5 times in one turn.,1,2,5
142,lovely-kiss,normal,10,0,status,NULL,75,100,sleep,puts the target to sleep.,1,1,1
145,bubble,water,30,0,special,40,100,10,spd -1,has a $effect_chance% chance to lower the target's speed by one stage.,1,1,1
147,spore,grass,15,0,status,NULL,100,100,sleep,puts the target to sleep.,1,1,1
148,flash,normal,20,0,status,NULL,100,100,acc -1,lowers the target's accuracy by one stage.,1,1,1
150,splash,normal,40,0,status,NULL,NULL,NULL,NULL,does nothing.,0,1,1
151,acid-armor,posion,20,0,status,NULL,NULL,100,def +2,raises the user's defense by two stages.,0,1,1
154,fury-swipes,normal,15,0,physical,18,80,NULL,NULL,hits 2-5 times in one turn.,1,2,5
155,bonemerang,ground,10,0,physical,50,90,NULL,NULL,hits twice in one turn.,1,2,2
159,sharpen,normal,30,0,status,NULL,NULL,100,atk +1,raises the user's attack by one stage.,0,1,1
172,flame-wheel,fire,25,0,physical,60,100,10,burn,has a $effect_chance% chance to burn the target.  lets frozen pokemon thaw themselves.,1,1,1
178,cotton-spore,grass,40,0,status,NULL,100,100,spd -2,lowers the target's speed by two stages.,1,1,1
181,powder-snow,ice,25,0,special,40,100,10,freeze,has a $effect_chance% chance to freeze the target.,1,1,1
183,mach-punch,fighting,30,1,physical,40,100,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
184,scary-face,normal,10,0,status,NULL,100,100,spd -2,lowers the target's speed by two stages.,1,1,1
185,feint-attack,dark,20,0,physical,60,NULL,NULL,NULL,never misses.,1,1,1
188,sludge-bomb,posion,10,0,special,90,100,30,poison,has a $effect_chance% chance to poison the target.,1,1,1
189,mud-slap,ground,10,0,special,20,100,100,acc -1,has a $effect_chance% chance to lower the target's accuracy by one stage.,1,1,1
190,octazooka,water,10,0,special,65,85,50,acc -1,has a $effect_chance% chance to lower the target's accuracy by one stage.,1,1,1
192,zap-cannon,electric,5,0,special,120,50,100,paralysis,has a $effect_chance% chance to paralysis the target.,1,1,1
196,icy-wind,ice,15,0,special,55,95,100,spd -1,has a $effect_chance% chance to lower the target's speed by one stage.,1,1,1
198,bone-rush,ground,10,0,physical,25,90,NULL,NULL,hits 2-5 times in one turn.,1,2,5
204,charm,fairy,20,0,status,NULL,100,100,atk -2,lowers the target's attack by two stages.,1,1,1
209,spark,electric,20,0,physical,65,100,30,paralysis,has a $effect_chance% chance to paralysis the target.,1,1,1
211,steel-wing,steel,25,0,physical,70,90,10,def +1,has a $effect_chance% chance to raise the user's defense by one stage.,0,1,1
216,return,normal,20,0,physical,102,100,NULL,NULL,power increases with happiness (always 102 in this game),1,1,1
218,frustration,normal,20,0,physical,1,100,NULL,NULL,power increases as happiness decreases (always 1 in this game),1,1,1
221,sacred-fire,fire,5,0,physical,100,95,50,burn,has a $effect_chance% chance to burn the target.  lets frozen pokemon thaw themselves.,1,1,1
224,megahorn,bug,10,0,physical,120,85,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
225,dragon-breath,dragon,20,0,special,60,100,30,paralysis,has a $effect_chance% chance to paralysis the target.,1,1,1
229,rapid-spin,normal,40,0,physical,50,100,100,NULL,"frees the user from binding moves, removes leech seed, and blows away spikes.",1,1,1
230,sweet-scent,normal,20,0,status,NULL,100,100,evasion -1,lowers the target's evasion by one stage.,1,1,1
231,iron-tail,steel,15,0,physical,100,75,30,def -1,has a $effect_chance% chance to lower the target's defense by one stage.,1,1,1
232,metal-claw,steel,35,0,physical,50,95,10,atk +1,has a $effect_chance% chance to raise the user's attack by one stage.,0,1,1
233,vital-throw,fighting,10,-1,physical,70,NULL,NULL,NULL,never misses.,1,1,1
242,crunch,dark,15,0,physical,80,100,20,def -1,has a $effect_chance% chance to lower the target's defense by one stage.,1,1,1
245,extreme-speed,normal,5,2,physical,80,100,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
247,shadow-ball,ghost,15,0,special,80,100,20,spdef -1,has a $effect_chance% chance to lower the target's special defense by one stage.,1,1,1
249,rock-smash,fighting,15,0,physical,40,100,50,def -1,has a $effect_chance% chance to lower the target's defense by one stage.,1,1,1
257,heat-wave,fire,10,0,special,95,90,10,burn,has a $effect_chance% chance to burn the target.,1,1,1
261,will-o-wisp,fire,15,0,status,NULL,85,100,burn,burns the target.,1,1,1
268,charge,electric,20,0,status,NULL,NULL,100,spdef +1,raises the user's special defense by one stage.,0,1,1
280,brick-break,fighting,15,0,physical,75,100,NULL,NULL,destroys reflect and light screen.,1,1,1
282,knock-off,dark,20,0,physical,65,100,NULL,NULL,target drops its held item.,1,1,1
292,arm-thrust,fighting,20,0,physical,15,100,NULL,NULL,hits 2-5 times in one turn.,1,2,5
294,tail-glow,bug,20,0,status,NULL,NULL,100,spatk +3,raises the user's special attack by three stages.,0,1,1
295,luster-purge,psychic,5,0,special,70,100,50,spdef -1,has a $effect_chance% chance to lower the target's special defense by one stage.,1,1,1
296,mist-ball,psychic,5,0,special,70,100,50,spatk -1,has a $effect_chance% chance to lower the target's special attack by one stage.,1,1,1
297,feather-dance,flying,15,0,status,NULL,100,100,atk -2,lowers the target's attack by two stages.,1,1,1
299,blaze-kick,fire,10,0,physical,85,90,10,burn,has $effect_chance% chance to burn the target.,1,1,1
304,hyper-voice,normal,10,0,special,90,100,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
305,poison-fang,posion,15,0,physical,50,100,50,badly poison,has a $effect_chance% chance to badly poison the target.,1,1,1
306,crush-claw,normal,10,0,physical,75,95,50,def -1,has a $effect_chance% chance to lower the target's defense by one stage.,1,1,1
309,meteor-mash,steel,10,0,physical,90,90,20,atk +1,has a $effect_chance% chance to raise the user's attack by one stage.,0,1,1
311,weather-ball,normal,10,0,special,50,100,NULL,NULL,"if there be weather, this move has doubled power and the weather's type.",1,1,1
313,fake-tears,dark,20,0,status,NULL,100,100,spdef -2,lowers the target's special defense by two stages.,1,1,1
315,overheat,fire,5,0,special,130,90,100,spatk -2,lowers the user's special attack by two stages after inflicting damage.,0,1,1
317,rock-tomb,rock,15,0,physical,60,95,100,spd -1,has a $effect_chance% chance to lower the target's speed by one stage.,1,1,1
319,metal-sound,steel,40,0,status,NULL,85,100,spdef -2,lowers the target's special defense by two stages.,1,1,1
320,grass-whistle,grass,15,0,status,NULL,55,100,sleep,puts the target to sleep.,1,1,1
325,shadow-punch,ghost,20,0,physical,60,NULL,NULL,NULL,never misses.,1,1,1
327,sky-uppercut,fighting,15,0,physical,85,90,NULL,NULL,inflicts regular damage and can hit bounce and fly users.,1,1,1
330,muddy-water,water,10,0,special,90,85,30,acc -1,has a $effect_chance% chance to lower the target's accuracy by one stage.,1,1,1
331,bullet-seed,grass,30,0,physical,25,100,NULL,NULL,hits 2-5 times in one turn.,1,2,5
332,aerial-ace,flying,20,0,physical,60,NULL,NULL,NULL,never misses.,1,1,1
333,icicle-spear,ice,30,0,physical,25,100,NULL,NULL,hits 2-5 times in one turn.,1,2,5
334,iron-defense,steel,15,0,status,NULL,NULL,100,def +2,raises the user's defense by two stages.,0,1,1
337,dragon-claw,dragon,15,0,physical,80,100,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
341,mud-shot,ground,15,0,special,55,95,100,spd -1,has a $effect_chance% chance to lower the target's speed by one stage.,1,1,1
342,poison-tail,posion,25,0,physical,50,100,10,poison,has $effect_chance% chance to poison the target.,1,1,1
345,magical-leaf,grass,20,0,special,60,NULL,NULL,NULL,never misses.,1,1,1
350,rock-blast,rock,10,0,physical,25,90,NULL,NULL,hits 2-5 times in one turn.,1,2,5
351,shock-wave,electric,20,0,special,60,NULL,NULL,NULL,never misses.,1,1,1
354,psycho-boost,psychic,5,0,special,140,90,100,spatk -2,lowers the user's special attack by two stages after inflicting damage.,0,1,1
359,hammer-arm,fighting,10,0,physical,100,90,100,spd -1,lowers user's speed by one stage.,0,1,1
365,pluck,flying,20,0,physical,60,100,NULL,NULL,"if target has a berry, inflicts double damage and uses the berry.",1,1,1
395,force-palm,fighting,10,0,physical,60,100,30,paralysis,has a $effect_chance% chance to paralysis the target.,1,1,1
396,aura-sphere,fighting,20,0,special,80,NULL,NULL,NULL,never misses.,1,1,1
397,rock-polish,rock,20,0,status,NULL,NULL,100,spd +2,raises the user's speed by two stages.,0,1,1
398,poison-jab,posion,20,0,physical,80,100,30,poison,has a $effect_chance% chance to poison the target.,1,1,1
401,aqua-tail,water,10,0,physical,90,90,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
402,seed-bomb,grass,15,0,physical,80,100,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
404,x-scissor,bug,15,0,physical,80,100,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
405,bug-buzz,bug,10,0,special,90,100,10,spdef -1,has a $effect_chance% chance to lower the target's special defense by one stage.,1,1,1
406,dragon-pulse,dragon,10,0,special,85,100,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
408,power-gem,rock,20,0,special,80,100,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
410,vacuum-wave,fighting,30,1,special,40,100,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
411,focus-blast,fighting,5,0,special,120,70,10,spdef -1,has a $effect_chance% chance to lower the target's special defense by one stage.,1,1,1
412,energy-ball,grass,10,0,special,90,100,10,spdef -1,has a $effect_chance% chance to lower the target's special defense by one stage.,1,1,1
414,earth-power,ground,10,0,special,90,100,10,spdef -1,has a $effect_chance% chance to lower the target's special defense by one stage.,1,1,1
417,nasty-plot,dark,20,0,status,NULL,NULL,100,spatk +2,raises the user's special attack by two stages.,0,1,1
418,bullet-punch,steel,30,1,physical,40,100,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
420,ice-shard,ice,30,1,physical,40,100,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
422,thunder-fang,electric,15,0,physical,65,95,10,paralysis,has a $effect_chance% chance to paralyze the target,1,1,1
423,ice-fang,ice,15,0,physical,65,95,10,freeze,has a $effect_chance% chance to freeze the target ,1,1,1
424,fire-fang,fire,15,0,physical,65,95,10,burn,has a $effect_chance% chance to burn the target ,1,1,1
425,shadow-sneak,ghost,30,1,physical,40,100,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
426,mud-bomb,ground,10,0,special,65,85,30,acc -1,has a $effect_chance% chance to lower the target's accuracy by one stage.,1,1,1
429,mirror-shot,steel,10,0,special,65,85,30,acc -1,has a $effect_chance% chance to lower the target's accuracy by one stage.,1,1,1
430,flash-cannon,steel,10,0,special,80,100,10,spdef -1,has a $effect_chance% chance to lower the target's special defense by one stage.,1,1,1
432,defog,flying,15,0,status,NULL,NULL,100,evasion -1,lowers the target's evasion by one stage.  removes field effects from the enemy field.,1,1,1
434,draco-meteor,dragon,5,0,special,130,90,100,spatk -2,lowers the user's special attack by two stages after inflicting damage.,0,1,1
437,leaf-storm,grass,5,0,special,130,90,100,spatk -2,lowers the user's special attack by two stages after inflicting damage.,0,1,1
438,power-whip,grass,10,0,physical,120,85,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
440,cross-poison,posion,20,0,physical,70,100,10,poison,has a $effect_chance% chance to poison the target.,1,1,1
441,gunk-shot,posion,5,0,physical,120,80,30,poison,has a $effect_chance% chance to poison the target.,1,1,1
443,magnet-bomb,steel,20,0,physical,60,NULL,NULL,NULL,never misses.,1,1,1
449,judgment,normal,10,0,special,100,100,NULL,NULL,"if the user is holding a appropriate plate or drive, the damage inflicted will match it.",1,1,1
450,bug-bite,bug,20,0,physical,60,100,NULL,NULL,"if target has a berry, inflicts double damage and uses the berry.",1,1,1
451,charge-beam,electric,10,0,special,50,90,70,spatk +1,has a $effect_chance% chance to raise the user's special attack by one stage.,0,1,1
453,aqua-jet,water,20,1,physical,40,100,NULL,NULL,inflicts regular damage with no additional effect.,1,1,1
458,double-hit,normal,10,0,physical,35,90,NULL,NULL,hits twice in one turn.,1,2,2
464,dark-void,dark,10,0,status,NULL,50,100,sleep,puts the target to sleep.,1,1,1
465,seed-flare,grass,5,0,special,120,85,40,spdef -2,has a $effect_chance% chance to lower the target's special defense by two stages.,1,1,1
