mv_id,move_name,ele_type,pp,priority,category,atk,accuracy,prob,effect,description,effect_target,min_times,max_times
414,earth-power,ground,10,0,special,90,100,10,spdef -1,has a $effect_chance% chance to lower the target's special defense by one stage.,1,,
417,nasty-plot,dark,20,0,status,,,100,spatk +2,raises the user's special attack by two stages.,0,,
418,bullet-punch,steel,30,1,physical,40,100,,,inflicts regular damage with no additional effect.,1,,
420,ice-shard,ice,30,1,physical,40,100,,,inflicts regular damage with no additional effect.,1,,
422,thunder-fang,electric,15,0,physical,65,95,10,paralysis,has a $effect_chance% chance to paralyze the target,1,,
423,ice-fang,ice,15,0,physical,65,95,10,freeze,has a $effect_chance% chance to freeze the target ,1,,
424,fire-fang,fire,15,0,physical,65,95,10,burn,has a $effect_chance% chance to burn the target ,1,,
425,shadow-sneak,ghost,30,1,physical,40,100,,,inflicts regular damage with no additional effect.,1,,
426,mud-bomb,ground,10,0,special,65,85,30,acc -1,has a $effect_chance% chance to lower the target's accuracy by one stage.,1,,
429,mirror-shot,steel,10,0,special,65,85,30,acc -1,has a $effect_chance% chance to lower the target's accuracy by one stage.,1,,
430,flash-cannon,steel,10,0,special,80,100,10,spdef -1,has a $effect_chance% chance to lower the target's special defense by one stage.,1,,
432,defog,flying,15,0,status,,,100,evasion -1,lowers the target's evasion by one stage.  removes field effects from the enemy field.,1,,
434,draco-meteor,dragon,5,0,special,130,90,100,spatk -2,lowers the user's special attack by two stages after inflicting damage.,0,,
437,leaf-storm,grass,5,0,special,130,90,100,spatk -2,lowers the user's special attack by two stages after inflicting damage.,0,,
438,power-whip,grass,10,0,physical,120,85,,,inflicts regular damage with no additional effect.,1,,
440,cross-poison,posion,20,0,physical,70,100,10,poison,has a $effect_chance% chance to poison the target.,1,,
441,gunk-shot,posion,5,0,physical,120,80,30,poison,has a $effect_chance% chance to poison the target.,1,,
443,magnet-bomb,steel,20,0,physical,60,,,,never misses.,1,,
449,judgment,normal,10,0,special,100,100,,,"if the user is holding a appropriate plate or drive, the damage inflicted will match it.",1,,
450,bug-bite,bug,20,0,physical,60,100,,,"if target has a berry, inflicts double damage and uses the berry.",1,,
451,charge-beam,electric,10,0,special,50,90,70,spatk +1,has a $effect_chance% chance to raise the user's special attack by one stage.,0,,
453,aqua-jet,water,20,1,physical,40,100,,,inflicts regular damage with no additional effect.,1,,
458,double-hit,normal,10,0,physical,35,90,,,hits twice in one turn.,1,2,2
464,dark-void,dark,10,0,status,,50,100,sleep,puts the target to sleep.,1,,
465,seed-flare,grass,5,0,special,120,85,40,spdef -2,has a $effect_chance% chance to lower the target's special defense by two stages.,1,,
